id,trigger,conditions,script,text,options,notes
gaKAArroyoGreetingIgnoreCall,PickGreeting,"$id == arroyo
$market.gaKA_visitChalet score:1000",,"Sua chamada se conecta a um receptor automático. O logotipo animado de uma subsidiária da Tri-Tachyon gira sem parar em sua tela. Depois de meio minuto e da segunda vez que uma voz lhe diz que sua paciência é apreciada, você conclui que sua chamada está sendo ignorada. Arroyo quer discutir negócios pessoalmente.",cutCommLink:Fechar comunicações,
gaKAArroyoProblemSel,DialogOptionSelected,$option == gaKA_arroyoProblem,,"""Resolver um problema."" Ele diz isso como se fosse um assunto muito abaixo do valor de sua atenção. ""Eu não resolvo problemas, amigo. Eu pago pessoas para resolverem problemas para mim. Você tem problemas? Vá falar com o estaleiro e conserte seu vazamento de oxigênio. Eu não me importo com o seu problema, a menos que ele seja sete ou oito figos de dinheiro em uma conta que você precisa colocar para trabalhar."" Ele está começando a gritar. Você tem a impressão de que ele gosta desse tipo de censura. ""Cansei de perder meu tempo? Agora me diga quem lhe deu meu número, porque vou demiti-lo logo depois de cortar esse link.""","gaKA_arroyoProvost:""Reitora Anahita Baird.""",
gaKAArroyoProvostSel,DialogOptionSelected,$option == gaKA_arroyoProvost,,"Por um momento, você pensa ter visto uma onda de pânico passar pelo rosto de Arroyo. É substituído por um sorriso arrogante: ""Ah, claro, claro - o fundo de doações da Academia Galatia. Como eu poderia esquecer?"" ""Aqui"", ele toca em algo e sua comunicação exibe um conjunto de coordenadas recebidas com o código de um farol de pouso. ""Pegue um ônibus espacial. Podemos entrar em contato sobre o fundo. Tenho certeza de que o reitor tem planos interessantes e quero ouvir tudo sobre eles-"" Ele levanta os olhos por um momento e os abaixa novamente para olhar diretamente para você . ""Em pessoa.""",gaKA_arroyoProvost2:Continuar,
gaKAArroyoProvostSel2,DialogOptionSelected,$option == gaKA_arroyoProvost2,"$toldToVisitChalet = true
$global.gaKA_visitArroyo = true
Call $global.gaKA_ref updateStage","Ele continua como se tudo isso fosse perfeitamente esperado. ""Já esteve no planeta? Não conta se são apenas as arcologias. Vou fazer um tour pelo meu chalé. Vistas espetaculares, você vai adorar. Até breve."" Ele fecha a conexão antes que você possa responder.",cutCommLinkNoText:Continuar,
gaKAArroyoVisitOption,PopulateOptions,"$hasMarket
$market.id == eochu_bres
$menuState == main
$market.gaKA_visitChalet",#SetOptionColor gaKA_visitChalet highlight,,3:gaKA_visitChalet:Pegue um ônibus para o chalé de Rayan Arroyo na superfície,
gaKAArroyoVisitStart,DialogOptionSelected,$option == gaKA_visitChalet,ShowLargePlanet,"Sua nave desce para a atmosfera jovem de Eochu Bres, através de imponentes ameias de nuvens. Um jato de chuva é lançado sobre sua janela de visualização e é limpo em um piscar de olhos pelo calor e pela velocidade de sua descida. A trajetória de voo logo se desvia do corredor de aproximação geral, que cobra pequenas taxas de uso do controle de voo de propriedade da Tri-Tachyon: taxa geral de acesso ao volume, taxa de faixa de voo prioritária, taxa de serviço, taxa de seguro de satisfação do cliente, taxa de desvio de publicidade - você desativa as notificações e foca na paisagem.",gaKA_arroyoVisit1:Continuar,
gaKAArroyoVisit1,DialogOptionSelected,$option == gaKA_arroyoVisit1,,"Deixando para trás as arcologias Tri-Tach, os diamantes crescem sobre os detritos das favelas. Sobre oleodutos, uma baía azul-aço, fiordes irregulares interrompidos por congestionamentos de gelo e deslizamentos de terra. Acima e acima de uma grande escarpa em ruínas como uma onda negra que preenche o horizonte; você atravessa uma paisagem de tundra de tons estranhos salpicada de milhares de lagos verde-leitosos. Uma nova cadeia de montanhas surge no horizonte, rasgada ao meio pelo trabalho catastrófico dos terraformadores, e além está um caos de vales íngremes povoados por pinheiros anões e finas cachoeiras brancas. O sistema de navegação emite um tom indicando chegada iminente, e você vê o chalé particular de Arroyo: um pequeno complexo de arquitetura geométrica radical cercado por edifícios baixos. Sua nave se aproxima de uma plataforma de pouso elipsóide que parece pairar no ar sobre um desfiladeiro.",gaKA_arroyoVisit2:Continuar,
gaKAArroyoVisit2,DialogOptionSelected,$option == gaKA_arroyoVisit2,,"Um humano e um servo robótico cumprimentam você placidamente quando você chega e o conduzem para dentro de um grande salão feito em estilo geométrico escuro. As incrustações de ouro brilham nas mesas de ônix, e o piso de granito polido é decorado com tapetes em tons de joias com padrões de bom gosto, colocados ligeiramente tortos. A vista da janela saliente com matriz de diamante é, como Arroyo prometeu, espetacular.",gaKA_arroyoVisit3:Continuar,
gaKAArroyoVisit3,DialogOptionSelected,$option == gaKA_arroyoVisit3,BeginConversation arroyo false true,"Rayan Arroyo está sentado em um dos bares. Ele reconhece sua entrada com um aceno de cabeça enquanto os servos desaparecem. Ele bate no datapad com dois dedos. Você ouve o sinal suave de perda de sinal do seu datapad e sua mão se contrai instintivamente. Arroyo reconhece isso levantando uma sobrancelha perfeitamente cuidada. ""Acalme-se. Apenas certifique-se de que ninguém esteja ouvindo."" Ele folheia uma série de leituras nulas em um datapad e, satisfeito, o deixa de lado. ""Então Baird está ligando para outra parcela. Qual será, Capitão $playerName?""","gaKA_arroyoBreakIn:""Preciso invadir o cofre de dados do Ministério de Padrões de Tecnologia."" 
gaKA_arroyoTour:""Sem conversa fiada? E a turnê?""",
gaKAArroyoVisitTour,DialogOptionSelected,$option == gaKA_arroyoTour,,"""Não"", ele diz. Ele faz uma demonstração de olhar em volta: ""Mas é legal, não é?"" ""Agora eu poderia estar fazendo qualquer coisa além de falar com você agora, então vamos ser rápidos. Você sabe que está conseguindo algo graças ao nosso 'amigo' em comum. O que é?""","gaKA_arroyoBreakIn:""Preciso invadir o cofre de dados do Ministério de Padrões de Tecnologia.""",
gaKAArroyoVisitBreakIn,DialogOptionSelected,$option == gaKA_arroyoBreakIn,,"Assim que você diz isso, um sorriso surge no rosto de Arroyo. Ele começa a rir e demora enquanto a risada aumenta e cai. Ele ri como se estivesse amarrado ao foguete de um louco, sem saída. Então por que não aproveitar o passeio?","gaKA_arroyoAMoment:Dê a ele um momento 
gaKA_arroyoSerious:""Estou falando sério, Arroyo."" 
gaKA_arroyoLaugh:Ria com ele",
gaKAArroyoVisitSerious,DialogOptionSelected,$option == gaKA_arroyoSerious,,"Ele dá um tapa na barra de ônix uma última vez e coloca a cabeça entre as mãos. ""Claro."" Ele olha para a paisagem das montanhas serrilhadas por um momento, depois fala com uma passividade incomum: ""Eu odiaria começar uma terceira guerra de IA"".",gaKA_arroyoAMoment2:Continuar,
gaKAArroyoVisitLaugh,DialogOptionSelected,$option == gaKA_arroyoLaugh,,"Quando você começa a rir, parece minar algo da mania de Arroyo. Você interrompe, deixando um silêncio constrangedor. Ele coloca a cabeça entre as mãos.",gaKA_arroyoAMoment2:Continuar,
gaKAArroyoVisitAMoment,DialogOptionSelected,$option == gaKA_arroyoAMoment,"$option = gaKA_arroyoAMoment2 0
FireBest DialogOptionSelected",Ele dá um tapa na barra de ônix uma última vez e coloca a cabeça entre as mãos.,,
gaKAArroyoVisitAMoment2,DialogOptionSelected,$option == gaKA_arroyoAMoment2,,"Ele suspira e derrama algo de uma garrafa de cristal em um copo e o esvazia. ""Para um negócio que fica pior o tempo todo!"" Depois serve outro. Ele pensa por um momento, percebe você e inclina a garrafa para lhe oferecer uma bebida.","gaKA_arroyoDrinkDecline:Decline 
gaKA_arroyoDrinkAccept:Tome uma bebida",
gaKAArroyoVisitDrinkNo,DialogOptionSelected,$option == gaKA_arroyoDrinkDecline,,"Ele dá de ombros e bebe seu segundo drinque. ""Fique com Baird. Você encontrará seu vício para lidar com isso"", diz ele.",gaKA_arroyoVisit4:Continuar,
gaKAArroyoVisitDrinkYes,DialogOptionSelected,$option == gaKA_arroyoDrinkAccept,,"Arroyo serve outro, passa o copo para você e bate o copo no seu, com força. ""E Anahita Baird!"" Ele grita.",gaKA_arroyoVisit4:Continuar,
gaKAArroyoVisit4,DialogOptionSelected,$option == gaKA_arroyoVisit4,"SetTextHighlights Gargoyle
AddTextSmall ""Received comms ID for Gargoyle"" highlight
FireAll GAKAArroyoHub1","Ele bate um copo vazio. ""Eu conheço alguém que pode fazer isso. Eles são um pé no saco, mas isso é fundamental, eles são loucos o suficiente para fazer um trabalho tão estúpido quanto o que você está propondo. Um hacker chamado Gargoyle - o verdadeiro , não um dos aspirantes. Já fizemos negócios antes. Aqui está o ID de comunicação. "" Rayan tira um datakey do bolso, balança-o sobre o datapad e, depois de alguns toques, empurra-o em sua direção. ""Se você receber alguma resistência, se Gargoyle fizer uma pequena birra, apenas devolva. É tudo uma questão de drama, mas no final você já está com um trabalho tão estúpido quanto esse."" Ele levanta a mão: ""E, a propósito, você realmente não precisava me dizer seu verdadeiro objetivo. A última coisa que quero é a contra-inteligência da Hegemonia rastejando por toda a minha operação. Ou, pior, algum vampiro do conselho da empresa cheirando sangue.""",,
gaKAArroyoVisitGargoyleOpt,GAKAArroyoHub1,!$gaKA_askedGargoyle,,,"gaKA_arroyoGargoyle:""Você pode me contar mais sobre essa 'Gárgula'?""",
gaKAArroyoVisitBairdWhatOpt,GAKAArroyoHub1,!$gaKA_askedBaird,,,"gaKA_arroyoBairdWhat:""Afinal, o que Baird descobriu sobre você?""",
gaKAArroyoVisitLeaveOpt,GAKAArroyoHub1,,,,gaKA_arroyoLeave:Sair,
gaKAArroyoVisitGargoyle,DialogOptionSelected,$option == gaKA_arroyoGargoyle,"$gaKA_askedGargoyle = true 0
FireAll GAKAArroyoHub1","Ele te dá uma olhada. ""Não. Quem se importa. Não importa. Quase tudo que você ouvirá sobre Gargoyle é inventado, e metade disso é verdade. Então não se preocupe em tentar."" Ele se recosta, olhando para outro lugar, contente em conversar um pouco mais consigo mesmo. ""O importante é que Gargoyle sempre faça o trabalho. Minha teoria é que é algum tipo de coisa obsessiva do cérebro"", ele gira a mão na cabeça para demonstrar. ""Provavelmente implantou um cybermod ao contrário e obteve uma IA em vez de um lobo frontal."" ""Divirta-se com isso"", diz ele com um sorriso malicioso.",,
gaKAArroyoVisitBairdWhat,DialogOptionSelected,$option == gaKA_arroyoBairdWhat,"$gaKA_askedBaird = true 0
FireAll GAKAArroyoHub1","""O que Baird tem é um bom investimento, e quanto mais ela esperar..."" ele acena para o ambiente luxuoso; a carreira de Rayan Arroyo ""-mais juros ela arrecadará."" Um encolher de ombros. ""Foi feito bem o suficiente para mim. Todos nós fazemos acordos para progredir, e já vi coisas piores. Feitas piores para os outros. Além disso, sou um ativo agora. Você não pode simplesmente extinguir um ativo pertencente a um jogador maior. ."" Ele se vira e olha diretamente para você: ""E você também é um trunfo agora. Pergunta hipotética - o que ela tem contra você?"" Ele dá um sorriso frio. ""Eu espero que voce saiba.""",,
gaKAArroyoVisitLeave0,DialogOptionSelected,$option == gaKA_arroyoLeave,AddPotentialContact,"Você conseguiu o que precisava de Rayan Arroyo e, sem nenhum sinal da parte dele que você pudesse discernir, seus servos humanos e robôs aparecem mais uma vez. ""Não direi que foi um prazer, mas se você tiver mais créditos do que imagina ou, hmm, uma oportunidade de negócio verdadeiramente excepcional, vamos negociar criptomoedas agora para que você não precise rastrear poeira espacial no meu tapete novamente."" Ele toca em seu datapad e o oferece, e você realiza o ritual mundano que garantirá que qualquer pessoa que queira quebrar suas comunicações mútuas terá, pelo menos, que se esforçar na tarefa.",gaKA_arroyoLeave1:Continuar,
gaKAArroyoVisitLeave1,DialogOptionSelected,$option == gaKA_arroyoLeave1,"EndConversation DO_NOT_FIRE
ShowDefaultVisual
$global.gaKA_talkToGargoyle = true
Call $global.gaKA_ref updateStage","Seu ônibus inverte a rota anterior, descendo das terras altas, através do planalto de lagos. Você vê rastreadores de fábricas despejando canos e postes de monotrilho pela paisagem, deixando longos rastros de terra vermelha rasgada. Através do caos rochoso, do pequeno mar frio e das favelas montanhosas coroadas por torres brilhantes. Os pings de navegação e o ruído de comunicação tornam-se um pequeno rugido sobre o coração de Tri-Tachyon, e seu ônibus espacial o leva de volta à órbita.",gaKA_arroyoLeave2:Continuar,
gaKAArroyoVisitLeave2,DialogOptionSelected,$option == gaKA_arroyoLeave2,FireAll PopulateOptions,,,
"# Gargoyle, initial conversation",,,,,,
gaKAGargoyleGreeting,PickGreeting,"$id == gargoyle
$gaKA_contact score:1000",ShowPersonVisual,"Depois de se conectar à rede local, você insere o ID de comunicação do Gargoyle e faz uma pausa no prompt para iniciar a chamada. Você olha para o seu oficial de comunicação e ele acena com a cabeça, pronto para agir. Assim que você executa o comando, o console de guerra eletrônica se ilumina como uma ação de frota em uma nebulosa. A Comms controla os sistemas de segurança da informação com grande eficiência, coordenando a resposta ativa com navegação, sensores e estações de engenharia. Depois de talvez meio minuto, a tempestade começa, os alarmes silenciam e sua exibição principal passa de um hipnotizante campo de batalha fractal para um rosto fortemente aumentado sorrindo maliciosamente.",gaKA_gargoyleCont1:Continuar,
gaKAGargoyleGreeting1,DialogOptionSelected,$option == gaKA_gargoyleCont1,,"""Você estava pronto para mim!"" Gargoyle diz muito docemente para ser verdade antes de se voltar para um público imaginário: ""O foguete jockey reuniu cérebros suficientes para lidar com meu pequeno 'olá'!"" Gargoyle se recupera e aplaude: ""Muito bem!"" ""Então você sabe quem eu sou. Diga-me, por que Rayan lhe deu minha identificação de comunicação? Mais presentes, subornos, mendicância? Ele finalmente teve problemas com aquela junta de vampiros manipuladores de marionetes que ele deseja desesperadamente que fossem seus amigos? ...Em está fugindo da lei e precisa de uma limpeza de reputação?"" Uma pausa pensativa. ""Você sempre faz essa cara quando conhece gente nova?""","gaKA_gargoyleCont2:""Tenho um trabalho para você. Disseram que você é o melhor.""",
gaKAGargoyleGreeting2,DialogOptionSelected,$option == gaKA_gargoyleCont2,,"""Um emprego? Uh, não"", Gargoyle brinca teatralmente. ""Se algum dia eu tiver um dia de 'trabalho', quero que você me jogue para fora da câmara de descompressão e depois jogue essa câmara de descompressão em um buraco negro."" O hacker recua descuidadamente: ""Mas... ainda estou ouvindo. Porque você me disse que sou o melhor, e sou. Isso foi legal. Mas não tenho certeza se você realmente entende o que eu faço."" Uma mão repleta de nódulos de interface acena e sua tela se enche de clipes de notícias - paralisações industriais, suspeitas de sabotagem, bancos de dados hackeados, comunicações políticas vazadas, créditos perdidos, frotas fantasmas.",gaKA_gargoyleCont3:Continuar,
gaKAGargoyleGreeting3,DialogOptionSelected,$option == gaKA_gargoyleCont3,,"""O que eu faço,"" Gargoyle se senta, finalmente parecendo sério. ""É mágico."" ""Uma instituição, um governo, um navio de guerra, uma frota, a Hegemonia! A Igreja Lúdica! A Corporação Sugadora de Megacréditos Tri-Tachyon! Estas são máquinas feitas de pessoas, e essas pessoas não entendem suas próprias máquinas. Ou "", um tom de zombaria, ""outras pessoas, pensando bem. A unidade dessas construções sagradas é uma ilusão em massa!"" ""Mas eu"", Gargoyle toca em uma porta de dados montada na cabeça, ""eu entendo. Simplesmente"", um dedo aponta para você na tela, ""pressione aqui. Ali, depois ali, e a bolha estoura. Empurre no lugar certo no hora errada e o poderoso se torna uma piada triste. Uma rajada de vento, um peido de fantasia, uma casca frágil que está rachada. Entendeu?""","gaKA_gargoyleYes:""Sim, acredito que sim."" 
gaKA_gargoyleNotReally:""Na verdade não."" 
gaKA_gargoyleCanYou:""Você consegue invadir o cofre de dados de um Ministério da Hegemonia?""",
gaKAGargoyleYes,DialogOptionSelected,$option == gaKA_gargoyleYes,,"Gargoyle olha para você, boquiaberto. ""Não, você não sabe. Você está apenas fingindo porque acha que precisa parecer durão e inteligente na frente de seus subordinados. É tão óbvio."" Gargoyle se afasta, ""Por que eu me preocupo? Continue dirigindo seu foguete, Capitão $playerFirstName. Pew pow blam! Peguem isso, piratas espaciais! Simples. Direto. Sem sofisticação. Ingênuo."" Um suspiro dramático: ""Que perda de tempo. Por que estamos conversando? Por que fazer alguma coisa?""","gaKA_gargoyleCanYou:""Você consegue invadir o cofre de dados de um Ministério da Hegemonia?""",
gaKAGargoyleNotReally,DialogOptionSelected,$option == gaKA_gargoyleNotReally,,"Gargoyle olha desamparado, apoiando o queixo nas mãos. ""Estou perdido com você, $playerFirstName. Estou tentando, realmente estou. Dê-me algo com que trabalhar. Por favor? Caso contrário, posso simplesmente me congelar por mil ciclos. Talvez algo interessante tenha acontecido até então.""","gaKA_gargoyleCanYou:""Você consegue invadir o cofre de dados de um Ministério da Hegemonia?""",
gaKAGargoyleCanYou,DialogOptionSelected,$option == gaKA_gargoyleCanYou,,"""Eu amo isso!"" Gargoyle grita, sentando-se. ""Um esquema glorioso, praticamente preto neon! Qual deles? Todos eles de uma vez? Hmm"", o visor e os cybermods começam a piscar com atividade.","gaKA_gargoyleExplain:""Espere aí, só um, na verdade."" (explique a missão)",
gaKAGargoyleExplain,DialogOptionSelected,$option == gaKA_gargoyleExplain,"Highlight ""Kallichore Archive""","Você explica a Gargoyle o escopo da missão e o alvo - o Arquivo Kallichore, o armazenamento de dados pessoais do ex-reitor Tomas Kallichore que o Ministério de Padrões de Tecnologia da Hegemonia apreendeu da Academia da Galácia após algum tipo de experimento fracassado no hiperespaço. Você também explica, em termos que evitam qualquer implicação de uma hierarquia empregador-empregado, que Rayan Arroyo fornecerá financiamento para a operação.",gaKA_gargoyleCont4:Continuar,
gaKAGargoyleCont4,DialogOptionSelected,$option == gaKA_gargoyleCont4,,"Conforme você fala, a tela de comunicação do Gargoyle fica repleta de listas virtualizadas semi-escritas, painéis de referência e trechos de código. O hacker salta de ideia em ideia, rejeitando e aceitando contingências vários passos à frente - ou adjacentes, talvez - de tudo o que você está realmente dizendo. O caos visual distrai um pouco.","gaKA_gargoyleCont5:""Você precisa de algum tempo?"" 
gaKA_gargoyleCont5a:""Isso pode ser feito?""",
gaKAGargoyleCont5a,DialogOptionSelected,$option == gaKA_gargoyleCont5a,"$option = gaKA_gargoyleCont5 0
FireBest DialogOptionSelected",,,
gaKAGargoyleCont5,DialogOptionSelected,$option == gaKA_gargoyleCont5,"Highlight ""Nova Maxios""","""Pode ser difícil. Vou precisar repassar alguns créditos a alguns amigos por alguns truques especiais. Hmm. Vamos fazer tudo? Rayan está comprando lanches... Acho que sim. Sim."" ""É assim que vai acontecer: tenho um amigo que vai fazer um pacotinho para você. Deve estar pronto quando você chegar em Nova Maxios. voando e tudo o mais que for necessário para instalá-lo no relé de comunicação da Hegemonia no sistema Aztlan.""",gaKA_gargoyleCont5b:Continuar,
gaKAGargoyleCont5b,DialogOptionSelected,$option == gaKA_gargoyleCont5b,,"Uma pausa pensativa, então, ""Para o revezamento? Vá em silêncio para fazer o revezamento. Estacione sua frota. Talvez opere uma nave de fase solitária para o trabalho, se o seu ego for capaz de sobreviver longe de seus brinquedos de menino grande por alguns turnos .Ou - isso é divertido - hackear o conjunto de sensores e dar aos Heggies alguns fantasmas para perseguir. ""De qualquer forma, a instalação em si é fácil"", continua o hacker com indiferença. ""Qualquer drone de trabalho que você tenha na equipe deve ser capaz de descobrir qual lado vai para onde.""",gaKA_gargoyleCont6:Continuar,
gaKAGargoyleCont6,DialogOptionSelected,$option == gaKA_gargoyleCont6,,"""O verdadeiro truque vem depois: tenho que quebrar a criptografia da Hegemonia. Esse será seu verdadeiro, que tem um pequeno truque que venho salvando há alguns ciclos, no momento certo."" Gargoyle levanta os braços em uma demonstração prematura de triunfo. ""Será glorioso!"" Então se senta novamente. ""Certo, então. Depois de instalar o dispositivo de hack no relé de comunicação, volte aqui e você poderá me agradecer pessoalmente quando eu lhe entregar uma cópia dos dados descriptografados. E o amigo Rayan tem minha lista de demandas"", um toque de botão , ""Agora.""",gaKA_gargoyleCont7:Continuar,
gaKAGargoyleCont7,DialogOptionSelected,$option == gaKA_gargoyleCont7,"AddTextSmall ""Received location data for Nova Maxios pick-up"" highlight","Outro toque no botão e há um ping em seu datapad enquanto Gargoyle envia a você o endereço de uma pequena instalação de armazenamento perto do anel de portas principal de Nova Maxios, bem como o número de uma unidade de armazenamento específica. ""Estará lá"", diz Gargoyle com um sorriso que parece sugerir que você não está brincando. ""Agora tenho muito que fazer antes que isso esteja pronto, então vá em frente! A COMSEC vai explodir completamente quando conseguirmos isso, ha-ha!"" Gargoyle se volta para outro monitor, com atenção focada, os aumentos cibernéticos piscando em uma taxa crescente conforme a linha de comunicação se desconecta de você quase como uma reflexão tardia.",gaKA_gargoyleCont8:Continuar,
gaKAGargoyleCont8,DialogOptionSelected,$option == gaKA_gargoyleCont8,"ShowDefaultVisual
$global.gaKA_getHackHardware = true
Call $global.gaKA_ref updateStage",,cutCommLinkNoText:Continuar,
# Nova Maxios - getting the hardware,,,,,,
gaKANewMaxiosOption,PopulateOptions,"$hasMarket
$market.id == new_maxios
$menuState == main
$market.gaKA_getHack",#SetOptionColor gaKA_visitChalet highlight,,3:gaKA_visitStorage:Pegue um ônibus para visitar o depósito do Gárgula,
gaKANewMaxiosVisit0,DialogOptionSelected,$option == gaKA_visitStorage,,"Você pega um ônibus espacial para o saguão principal do espaçoporto, liderando um grupo de guarda-costas e técnicos. O teto da sala de recepção é baixo e as antigas lâmpadas fluorescentes piscam. Mas os Novos Maxioanos orgulham-se da sua política improvisada; alguns moradores locais pegam sua equipe olhando para um conduíte de suporte de vida pingando e sorriem, cutucando uns aos outros.",gaKA_visitStorage0:Continuar,
gaKANewMaxiosVisit0b,DialogOptionSelected,$option == gaKA_visitStorage0,,"endereço fornecido a você por Gargoyle leva você a um anel logístico decadente que parece ser usado principalmente por cargueiros e contrabandistas falidos. Você pergunta a um jovem recepcionista onde encontrar o número da unidade fornecida pelo Gargoyle. ""Hum, ah, sim, você deve ser o Capitão... R. Chato?"" o funcionário aperta os olhos nervosamente para o terminal da recepção - você registra essa piadinha de Gargoyle enquanto mantém a compostura impecável - ""Disseram-me que você chegaria para pegar sua carga há apenas alguns minutos. Por favor, venha por aqui.""",gaKA_visitStorage1:Continuar,
gaKANewMaxiosVisit1,DialogOptionSelected,$option == gaKA_visitStorage1,"ShowPersonVisual true clone_loke
$player.metCloneLoke = true","balconista começa a conduzi-lo por uma porta dos fundos, uma fechadura leve, mas congela: um homem pálido em um uniforme cinza indefinido está parado do outro lado, uma mancha cinza na escuridão além. ""Senhor Loke, senhor"", gagueja o balconista, ""eu não esperava, hum, se me dissessem-"" O homem - senhor Loke, você presume - sorri suavemente e diz: ""Vou mostrar o caminho ao capitão."" Loke simplesmente para de prestar atenção no atendente, voltando a atenção dele para você, ainda sorrindo. Ele acena encorajadoramente e se vira para caminhar na escuridão além do portal.",gaKA_visitStorage2:Seguir,
gaKANewMaxiosVisit2,DialogOptionSelected,$option == gaKA_visitStorage2,,"senhor Loke leva você por fileiras de unidades de armazenamento lacradas até um cais de carga. Seus passos produzem um eco metálico abafado. Algo que cheira a compostos orgânicos está vazando. Ainda sorrindo suavemente, Loke para e com um aceno de mão destranca uma unidade de armazenamento. Ele fala suavemente com você: ""Quando ela ouviu falar disso, Jorien me disse que achou muito engraçado. Ela queria que eu fosse e garantisse que você conseguisse o que a Gárgula pediu a Elissa para fazer para você. Seus olhos lacrimejantes olham para o armazenamento unidade: ""Deve ser uma coisa legal.""","gaKA_visitStorage3:""Quem são todas essas pessoas?"" 
gaKA_visitStorage3a:""Obrigado, eu acho.""",
gaKANewMaxiosVisit3a,DialogOptionSelected,$option == gaKA_visitStorage3a,"$option = gaKA_visitStorage3 0
FireBest DialogOptionSelected",,,
gaKANewMaxiosVisit3,DialogOptionSelected,$option == gaKA_visitStorage3,ShowDefaultVisual,"Em vez de responder, ele acena com a cabeça respeitosamente e diz ""Tchau"", depois vai embora para as sombras do armazém. Você balança a cabeça e volta sua atenção para a unidade de armazenamento. Dentro você encontra uma única caixa de remessa padrão. Você faz os técnicos avançarem e eles se aproximam com vários scanners portáteis; você não tem pressa em ser alvo de mais uma das 'piadas' de Gargoyle.",gaKA_visitStorage4:Continuar,
gaKANewMaxiosVisit4,DialogOptionSelected,$option == gaKA_visitStorage4,,"tecnologia líder começa a relatar. ""Fonte de energia. Neutrinos anômalos. E, hum, pequena distorção de fase de hiperonda?"" Toda a tripulação de técnicos dá um passo para trás inconsciente. A tecnologia de faseamento de hiperondas tem uma má reputação. E nunca se soube que ele cabesse em um pacote tão pequeno e permanecesse estável. Uma hora depois, enquanto você está terminando sua segunda bebida quente em um café próximo, os técnicos dão tudo certo por meio de seu datapad, concluindo que por mais estranho que seja este dispositivo - aparentemente um transmissor de hiperonda único feito à mão de algum tipo - não deve representar perigo imediato. Você ordena que ele seja removido para seu carro-chefe.",gaKA_visitStorage5:Continuar,
gaKANewMaxiosVisit5,DialogOptionSelected,$option == gaKA_visitStorage5,"AddStoryPoints 1
$global.gaKA_installHack = true
Call $global.gaKA_ref updateStage","Na viagem de volta ao seu $shipOrFleet, você pondera táticas para inserir este dispositivo no Aztlan Hyperwave Relay sem ser avistado por uma patrulha da Hegemonia. Um destacamento pequeno e rápido poderia fazer isso. Ou naves de fase, usando seus campos para diminuir o perfil do sensor. Ou, com um pouco de sorte, você poderá encontrar um momento de silêncio entre os turnos de patrulha... O interfone estala: ""Capitão, chegamos.""",gaKA_visitStorage6:Continuar,
gaKANewMaxiosVisit6,DialogOptionSelected,$option == gaKA_visitStorage6,FireAll PopulateOptions,,,
# Hacking Aztlan Relay,,,,,,
gaKA_relayPrintHostilesText,OpenInteractionDialog,"$id == aztlan_relay
$gaKA_installHack score:1000
IsSeenByAnyFleet",ShowDefaultVisual,"Seu $shipOrFleet foi detectado recentemente - ou está sendo rastreado por - uma frota próxima, impossibilitando a instalação secreta do hack.",defaultLeave:Sair,
gaKA_relayObjectInteraction,OpenInteractionDialog,"$id == aztlan_relay
$gaKA_installHack score:1000",ShowDefaultVisual,Seu $shipOrFleet se aproxima de $name.,"daKA_installHack:Instale o dispositivo de hack do Gargoyle no Aztlan Relay 
defaultLeave:Leave",
gaKA_relayInstallHack0,DialogOptionSelected,$option == daKA_installHack,,"Você dá a ordem ao seu chefe de operações, que começa a falar em voz baixa com o esquadrão escolhido a dedo de técnicos de salvamento veteranos que já estão cruzando para o revezamento em um drone de carga. Toda a operação é realizada de forma rápida e de acordo com os exercícios. Alguns cortes rápidos com ferramentas de baixo EM, seção do anteparo removida, dispositivo do Gargoyle preso no lugar. Os microdrones parasitas no chassi terminarão de anexar as principais conexões; principalmente em linhas de fibra. A antepara é selada e a equipe se retira com algumas baforadas de propulsores de gás frio tão silenciosamente quanto se aproximam.",daKA_installHack1:Continuar,
gaKA_relayInstallHack1,DialogOptionSelected,$option == daKA_installHack1,,"Em breve, seu oficial de comunicação confirma uma pequena explosão indicando que o dispositivo de Gargoyle está operacional. Apesar da atitude arrogante de Gargoyle em relação a toda a empresa, seus oficiais de comunicação e tecnologia especulam que um hack tão intrusivo será descoberto muito rapidamente. Seria melhor fazer uma fuga apressada enquanto você permanece sem ser detectado.",daKA_installHack2:Continuar,
gaKA_relayInstallHack2,DialogOptionSelected,$option == daKA_installHack2,"$global.gaKA_retrieveArchive = true
Call $global.gaKA_ref updateStage","Você também se pergunta se a Hegemonia rastreará o hack até o esconderijo de Gárgula. É improvável que um sistema político controlado pelo Tri-Tachyon coopere rapidamente com qualquer investigação sobre a Hegemonia. Mas então a investigação pode não ser ""oficial"" e menos uma investigação do que um esquadrão de operações secretas. Você deve recuperar o arquivo do Gargoyle rapidamente.",defaultLeave:Sair,
"# Gargoyle, retrieving archive",,,,,,
gaKAGargoyle2Greeting,PickGreeting,"$id == gargoyle
$gaKA_contactRetrieve score:1000",ShowPersonVisual,"Você insere o ID de comunicação de Gargoyle e acena para seu oficial de comunicação, que está pronto para qualquer surpresa que Gargoyle achar que seria divertido enviar por meio de comunicação. Sem truques desta vez. A tela se transforma instantaneamente em um rosto familiar com uma expressão desconhecida: medo.",gaKA_gargoyle2Greeting2:Continuar,
